Title;Note;Description;Éditeur;Date de publication;Nombre de pages
.hack//Link - Tasogare no Kishidan Vol. 3;-/10;"Haseo, le terrible PKK connu sous le nom de ""Peur de la Mort"", a complètement anéanti Tokio. Ce dernier fait alors irruption chez son mystérieux maître et lui demande de faire de lui son apprenti. Il commence alors à s'entraîner durement, se préparant au combat final.";; Kadokawa Shoten; 616 ¥
.hack//Quantum+ Vol. 1;-/10;L'histoire est centrée sur trois amis, camarades de classe : Sakuya, Tobias et Mary. Ces trois personnages sont aussi joueurs d'un MMORPG qui s'intitule The World R : X, créé par la société Cyberconnect Corporation. Durant l'une de leurs parties, ils aperçoivent une guilde de joueurs tentant de vaincre le boss, The One Sin, et, par accident, activent un piège qui tue une grande partie des membres de la guilde. Ils deviennent alors recherchés dans le monde virtuel. Pendant ce temps, un mystérieux chat surveille leurs moindres faits et gestes.;; Kadokawa Shoten; 138
.hack//Quantum+ Vol. 2;-/10;"L'heure de la bataille finale approche ! Afin de sauver ""The World"", ce jeu auquel ils ont passé tant de temps, ainsi que leurs amis disparus, nos protagonistes vont devoir affronter un tout dernier ennemi, le plus puissant de tous...";; Kadokawa Shoten; 158
.Hack//XXXX Vol. 1;-/10;"Le jeu en ligne ""The World"" est un macrocosme dans lequel évoluent de nombreuses séries indépendantes évoquant le vécu des joueurs. . Hack//XXXX raconte le destin de Kite et Orca.  La vie de Kite devient une véritable tragédie le jour où il se connecte pour la première fois au célèbre jeu. Il y retrouve son ami qui disparaît soudainement alors qu'une jeune fille venait de lui remettre un mystérieux bracelet. Mais la réalité dépasse la simple fiction, et au lendemain de la partie, Kite découvre qu'Orca est plongé dans le coma. Il est devenu un ""disparu"" comme on les appelle dans The World.Commence alors une période d'errance pour Kite qui cherche désespérément à sauver son ami. Pour parvenir à la délivrance, il devra avancer sur un chemin semé de défis et de combats.";; Panini (Manga); 09/09/2006
.Hack//XXXX Vol. 2;-/10;Helba apprend à Kite qu'il est à l'origine des événements de Yokohama. Le pouvoir du Data Drain a franchi les portes de The World. Lios ne peut plus laisser Kite utiliser son bracelet. Il décide d'effacer son personnage, mais en vain. Kite dépasse les limites du système. Malgré les risques qu'il fait encourir aux autres, Kite choisit de continuer sa lutte contre les Phases. Parviendra-t-il à sauver les Disparus sans semer le chaos sur la planète ?;; Panini (Manga); 26/03/2007
"""Aishiteru"", Uso Dakedo. Vol. 1";7.33/10;"Recueil de plusieurs one-shot de Miko Mitsuki dont l'histoire principale est ""Aishiteru"", Uso Dakedo.  Beni Momose déteste les garçons car pour elle, ils sont tous des menteurs, et refuse de tomber un jour amoureuse de l'un d'eux ! Elle les observe et note tout sur eux dans un cahier avec une cotation. Malheureusement, un jour, son cahier tombe entre les mains du ""playboy"" du lycée qui ne compte le lui rendre que si sa cote passe à 100/100..."; Shogakukan; 24/08/2012; 156
"""Bungaku Shoujo"" to Shi ni Tagari no Pierrot Vol. 1";-/10;"Konoha Inoue est un jeune lycéen, ayant déjà écrit un roman sous un pseudonyme féminin : Miu Inoue. Contre toute attente, il devint un best-seller et Miu Inoue fut connue dans tout le Japon. Mais naturellement, personne ne sait qu'elle est en réalité un garçon... Seulement, sa vie devint dramatique à partir de ce jour et Konoha vécu des choses insurmontables, toujours enfouies au plus profond de son cœur.  L'année d'après, en entrant au lycée, il fit la rencontre de Tôko Amano, la ""fille littéraire""... qui aime manger, au premier degré, les livres et autres manuscrits. Celle-ci l'invita à rejoindre le Club de Littérature.  Voilà pourquoi, depuis ce jour, Konoha doit lui rédiger une petite histoire qu'elle appelle, son ""goûter"".  Seulement, il se trouve que le destin de Konoha sera également bouleversé par quelque chose de plus dramatique, sombre et inquiétant... Quelque chose ressemblant fortement à une certaine histoire d'un certain écrivain : ""Ningen Shikkaku"" d'Osamu Dazai...";; Square Enix; 571 ¥
"""Bungaku Shoujo"" to Shi ni Tagari no Pierrot Vol. 2";-/10;Après avoir appris que Shûji-senpai s'est suicidé il y a 10 ans, Tôko et Konoha se demandent à qui Chia aurait bien pu parler. Après avoir imaginé diverses situations rocambolesques, Tôko décide d'enquêter sur ce mystérieux Shûji en interrogeant les anciens membres du club de lecture. Les recherches étant infructueuses, nos deux protagonistes vont finalement aller voir une certaine Maki Himekura, la fille du directeur.  Nos deux héros parviendront-ils à découvrir la réelle identité de Shûji-senpai ?;; Square Enix; 571 ¥
"""Bungaku Shoujo"" to Shi ni Tagari no Pierrot Vol. 3";-/10;La vérité se dénoue enfin sur le suicide de Shûji Kataoka. Rihoko se dévoile et Tôko ne peut s'empêcher de trouver une similitude avec Tomie Yamazaki, la femme qui commit un suicide avec l'auteur Osamu Dazai. Par ailleurs, Shûji aimait beaucoup Ningen Shikkaku, même s'il disait qu'il n'aimait pas lire. Peu à peu, Rihoko leur dévoile son plan funeste qui aboutit à la mort de Sakiko, sa rivale amoureuse, et inévitablement à la mort de Shûji...;; Square Enix; 581 ¥
"""Kakure Bitch"" Yattemashita. Vol. 1";-/10;N/C; Kobunsha; 15/09/2016; N&B
