Title;Note;Description;Éditeur;Date de publication;Nombre de pages
+C Sword and Cornett Vol. 4;-/10;N/C;; Ichijinsha; 7.99 € / 580 ¥
+C Sword and Cornett Vol. 5;-/10;N/C;; Ichijinsha; 7.99 € / 580 ¥
+C Sword and Cornett Vol. 6;-/10;N/C;; Ichijinsha; 7.99 € / 580 ¥
+C Sword and Cornett Vol. 7;-/10;N/C;; Ichijinsha; 7.99 € / 580 ¥
+C Sword and Cornett Vol. 8;-/10;N/C;; Ichijinsha; 7.99 € / 755 ¥
+C Sword and Cornett APPENDix Vol. 1;8/10;+C Sword and Cornett APPENDix est un recueil de sept histoires courtes prenant place pendant et après la trame principale du manga +C Sword and Cornett.; Ichijinsha; 25/01/2014; 170
+Tic Nee-san Vol. 1;-/10;Ce premier tome possède quatre histoires courtes. C'est l'histoire d'une jeune lycéenne de troisième année, Nee-san, qui aime construire des modèles en plastique dans un club de fabrication de maquettes, aux côtés de ses camarades Makimaki et Okappa.;; Square Enix; 524 ¥
+Tic Nee-san Vol. 2;-/10;Cette fois-ci, Nee-san nous raconte son premier amour ! Et que se cache-t-il dans l'armoire du club de maquette ? Retrouvez vos trois lycéennes préférées dans de nouvelles histoires où l'humour est maître !;; Square Enix; 524 ¥
+Tic Nee-san Vol. 3;-/10;"""Prenez juste une photo de moi, je ne bougerais pas !"" Entre les crises incessantes de Nee-san et de son côté pervers qui revient au galop, nos amis ne sont pas sortis de l'auberge !";; Square Enix; 524 ¥
+Tic Nee-san Vol. 4;-/10;Qu'est ce qui peut bien effrayer les jumelles Uno et Sano, au point de se réfugier dans une poubelle ? Et quel est le but d'Okkapa en se déguisant en fantôme ? Peur et humour s'entremêlent...;; Square Enix; 524 ¥
+Tic Nee-san Vol. 5;-/10;Un matin comme tout les autres, alors que Nee-san, Okappa et Makimaki se rendent au lycée, elles découvrent 2 mystérieuses statues de Bouddha. Arrivée la nuit, celles-ci pénètrent dans la chambre de Nee-san !! Qu'est-ce que cela veut dire...?;; Square Enix; 524 ¥
+Tic Nee-san Vol. 6;-/10;Alors que Nee-san se rend au toilette, elle tombe sur un Kappa ! Drôle de demeure faut dire... Et ce n'est pas tout ! La Saint-Valentin approche à grand pas ! L'humour laisse place à la romance !;; Square Enix; 524 ¥
+Tic Nee-san Vol. 7;-/10;Okappa nous présente son chien, Berry ! Nee-san quand à elle, se rend au poste de police, pour y donner une mystérieuse photo...;; Square Enix; 524 ¥
+Tic Nee-san Vol. 8;-/10;"""Connaissez-vous l'histoire du tunnel ? Celui où se produit, chaque fois un accident mortel...?"" Les membres du club de maquette ne sont pas au bout de leur surprise !";; Square Enix; 524 ¥
+Tic Nee-san Vol. 9;-/10;Les premiers flocons de neiges font leurs apparitions ! Et ce n'est sans compter avec l'arrivée imprévue de la mère de Nee-chan...;; Square Enix; 524 ¥
+Tic Nee-san Vol. 10;-/10;Le club de maquette vend illégalement des pneus sur un terrain vague ! Leurs bêtises sont-elles donc infinies ?;; Square Enix; 524 ¥
+Tic Nee-san Vol. 11;-/10;C'est Halloween !! Il est temps pour les membres du club de maquette de mettre un peu d'ambiance ! Fou rire et absurde ne sont pas exclus !!;; Square Enix; 524 ¥
+Tic Nee-san Vol. 12;-/10;Nee-san, Okappa et Makimaki ont de nouveaux projets en tête ! Elles ont repéré leur cible ! Mais que manigancent-elles ?;; Square Enix; 524 ¥
+Tic Nee-san Vol. 13;-/10;"Est-ce le câlin ou le baiser qui contient le plus d'amour ? ""C'est un bourgeon du cœur qui fleurit"" Serait-le moment à nos trois lycéennes de trouver l'amour ?";; Square Enix; 524 ¥
+Tic Nee-san Vol. 14;-/10;N/C;; Square Enix; 524 ¥
+Tic Nee-san Vol. 15;-/10;N/C;; Square Enix; 524 ¥
+Tic Nee-san Vol. 16;-/10;N/C;; Square Enix; 600 ¥
+Tic Nee-san Vol. 17;-/10;N/C;; Square Enix; 600 ¥
+Tic Nee-san Vol. 18;-/10;N/C;; Square Enix; 600 ¥
+Tic Nee-san Vol. 19;-/10;N/C;; Square Enix; 600 ¥
+Tic Nee-san Vol. 20;-/10;N/C;; Square Enix; 530 ¥
± Junkie Vol. 1;7/10;Ren souhaite continuer la tradition familiale de sa famille… C'est-à-dire se marier à 16 ans et avoir un enfant à 17 ans! Malgré sa volonté, Ren tombe amoureuse de l'un des garçons les plus populaires de l'école, Juuya, à première vue! Que va-t-il alors se passer?; Shueisha; 2004; N&B
<harmony/> Vol. 1;8.59/10;Dans le futur, Utopia a finalement été réalisée grâce à la nanotechnologie médicale et une puissante éthique de bien-être social et de considération mutuelle. Cependant, ce monde parfait ne l'est uniquement qu'en apparence. C'est pour cela que trois jeunes filles tentent de se rebeller contre le système en commençant une grève de la faim. Cela s'avère être un échec malgré la mort d'une d'entre elles. Quelques années plus tard, l'une des survivantes, Tuan Kirie, est devenue membre de l'Organisation Mondiale de la Santé. Alors qu'une crise menace l'harmonie du nouveau monde, elle retrouve une vieille connaissance et, ensemble, devront aider à sauver la planète... d'elle-même.;; Pika (Seinen); 23/03/2016
<harmony/> Vol. 2;8.64/10;"Après que Cian a été emportée par la vague de suicides simultanés qui a frappé le monde entier, Tuan se joint à l'enquête de l'OMS, bien décidée à démasquer les responsables de ce drame. Néanmoins, l'affaire se complique lorsque le fantôme de Miach apparaît à la télévision pour poser un ultimatum à l'humanité tout entière : dans une semaine, jour pour jour, chaque citoyen devra avoir tué quelqu'un ; sans quoi, il sera exécuté. Le temps presse pour Tuan. Mais, face à cette nouvelle menace terroriste, difficile pour les nations de maintenir l'harmonie qui les unissait jusque-là…";; Pika (Seinen); 25/02/2017
<harmony/> Vol. 3;8.63/10;"Tuan se rend à Badgad pour interroger le docteur Etain, la collaboratrice de son père disparu et membre du ""groupe d'étude comportementale de la nouvelle humanité"", responsable de la crise actuelle. Mais cette entrevue soulève plus de questions que de réponses sur les travaux de son père sur la volonté humaine, pour lesquels Miach aurait servi de cobaye. Tuan s'aventure donc hors de la zone de contrôle de l'Admedistration à la recherche de son père, le seul à même de lever le voile sur le passé de Miach ainsi que sur ses intentions. Mais Tuan ignore qu'elle est surveillée de près...";; Pika (Seinen); 09/11/2019
<harmony/> Vol. 4;8.29/10;"Grâce à son père, Tuan a maintenant la certitude que Miach Mihie est bien l'instigatrice de la vague de suicides. Mais Miach a flairé le danger de leur entrevue : sur son ordre, Elijah Vashlov, en réalité un agent double à sa solde, abat le père de Tuan avant de succomber aux balles de celle-ci. Mise en examen pour assassinat, Tuan sait que sa révocation ne saurait tarder. Alors, avant d'être pieds et poings liés, l'inspectrice s'envole pour la Tchéchénie, sur la piste de son amie d'enfance. L'heure est à la confrontation ; de son issue dépendra le sort de l'humanité.";; Pika (Seinen); 09/11/2019
√3 Vol. 1;-/10;"Il y a dix-sept ans, celui que l'on appelle désormais le ""Conjureur de la Calamité"", a rétabli la paix entre le monde des humains et le monde des démons. Aujourd'hui, les hommes vivent en parfaite harmonie avec les créatures surnaturelles, allant du zombie au vampire, en passant par les fusion humains-lézards et autres monstres autrefois redoutés.  Fière représentante de cette tolérance née entre les deux espèces, Banmaden est une école mixte, qui accueille aussi bien les humains que les démons. Parmi les élèves : Hisagi Hatsune le démon-renard, Futatsuiwa Mami le démon-raton-laveur et Kousenji Hoyu, le démon-chien. Trois étudiants et amis qui se passionnent pour l'occulte et ont décidé de s'intéresser aux légendes urbaines qui entourent leur établissement...";; Hobby Japan; 759 ¥
√3 Vol. 2;-/10;N/C;; Hobby Japan; 759 ¥
√3 Vol. 3;-/10;N/C;; Hobby Japan; 759 ¥
√3 Vol. 4;-/10;N/C;; Hobby Japan; 759 ¥
√3 Vol. 5;-/10;N/C;; Hobby Japan; 759 ¥
√W.P.B. Vol. 1;-/10;Un jour, alors que Suzuri passait devant une rivière, elle vit soudainement une énorme pêche couler ! Comme elle n'avait pas mangé depuis le début de son voyage, elle décida de conclure que l'énorme pêche a été envoyée par dieu et fit la chose la plus logique : la manger. Cependant, juste après sa première bouchée, un jeune homme sauta hors de la pêche! Et avant que Suzuri le sache, elle fut le 18ème maître de Momo !  Quel genre de danger rencontreront-ils lors de leur voyage face à un dieu qui se nomme Kyuui? Et quel sombre secret Momo a-t-il!?;; Square Enix; 172
√W.P.B. Vol. 2;-/10;N/C;; Square Enix; 172
0 -Zero- Vol. 1;-/10;0 est un recueil de quatre courtes nouvelles par Nakajima Rei mettant en scène des filles à oreilles de chat.; Wani Books; 23/12/2002; 160
0 no Connections Vol. 1;-/10;"""Si vous tournez le cadran 0 du téléphone noir, vous serez sauvé.""  ...S'appuyant sur une telle légende urbaine, Ryuka tente de faire toute la lumière sur la mort de sa sœur, mais une mystérieuse organisation dirigée par une beauté envoûtante se présente à elle...";; Akita Shoten; 748 ¥
0 no Connections Vol. 2;-/10;"Un mal énorme que la loi ne veut pas traduire en justice, une affaire civile que la police ne veut pas traiter, et la légende urbaine du ""téléphone noir"" vers laquelle se tournent les personnes qui cherchent à se soulager. En réponse à ces appels à l'aide, ""0 Connection"" se met au travail, tout comme leur nouvelle membre, Ryuka...";; Akita Shoten; 748 ¥
0 no Connections Vol. 3;-/10;N/C;; Akita Shoten; 748 ¥
0 no Connections Vol. 4;-/10;N/C;; Akita Shoten; 748 ¥
0-ji 5-bu no Cinderella Vol. 1;-/10;Il existe quelque part un certain magasin de chaussures où de nombreuses femmes se rendent chaque jour, toujours accueillies par le bel employé qui y travaille. Il s'agit en réalité d'un lieu où les rêves peuvent se réaliser...; Shueisha; 25/03/2014; 192
0-sen Hayato Vol. 1;-/10;"En 1942, un groupe de 35 pilotes expérimentés de la Marine impériale japonaise est réuni pour former un escadron équipé du nouveau Mitsubishi A6M Zero qui sera engagé dans les batailles des mers du Sud contre un adversaire non-spécifiquement désigné.  Le jeune Ayoto Azuma et son ami et rival Isshigi Kyōgo feront des missions de combat extrêmement risquées durant celles-ci ; Ayato recherchant également le pilote ennemi qui a abattu son père.";; Asahi Shimbunsha; 240 ¥
0-sen Hayato Vol. 2;-/10;N/C;; Asahi Shimbunsha; 240 ¥
0-sen Hayato Vol. 3;-/10;N/C;; Asahi Shimbunsha; 240 ¥
0-sen Hayato Vol. 4;-/10;N/C;; Asahi Shimbunsha; 240 ¥
0-sen Hayato Vol. 5;-/10;N/C;; Asahi Shimbunsha; 240 ¥
008 : Apprenti Espion Vol. 1;8.62/10;Jeune lycéen sans établissement, Eight est désespéré... Jusqu'au jour où il reçoit la lettre d'un lycée auquel il n'avait pas postulé ! Ravi de pouvoir enfin vivre une vie d'adolescent lambda, il est loin de se douter qu'il est en train d'intégrer un lieu de formation pour agents secrets ! Entouré par des élèves déjà aguerris ainsi que par des professeurs tous agents secrets d'élite en activité, Eight doit passer des tests redoutables qui s'enchaînent sans interruption ! Sa nouvelle vie de lycéen très agitée commence dans un monde qui lui est totalement inconnu !!;; Kurokawa (Shonen); 18/05/2018
008 : Apprenti Espion Vol. 2;8.43/10;Refusé par tous les lycées où il a postulé, Eight Akashi est désespéré. Cependant, il reçoit une lettre d'admission d'une école de formation pour agents secrets ! D'emblée, il doit affronter de rudes épreuves telles que le faux plafond tombant et la maîtrise du tie-blade qui est une arme d'une technologie avancée... Enfin à la table dîner au réfectoire, Eight et tous ses camarades se réjouissent du repas, mais s'endorment vite à cause du somnifère glissé dans la nourriture. Eight se réveille au milieu de l'océan !!;; Kurokawa (Shonen); 17/08/2018
008 : Apprenti Espion Vol. 3;8.83/10;"Eight poursuit ses cours auprès des différents professeurs-agents en activité. Miss Lady, professeure de manipulation psychologique, enseigne aux filles à user de leurs charmes ; Mme Mother apprend aux étudiants l'interprétation du langage corporel et M. Okita, du département Analyse et Technologie, explique le fonctionnement des armes. Tous les futurs agents doivent savoir se défendre ! Un professeur a été désigné responsable de chaque groupe, et celui en charge d'Eight, Ayame et Nohara est Iceman, alias 004 ! Seulement, Eight ne parvient pas à lui faire confiance depuis qu'il les a drogués et livrés à eux-mêmes en plein milieu de l'océan...";; Kurokawa (Shonen); 16/11/2018
008 : Apprenti Espion Vol. 4;9.17/10;Sous la direction d'Iceman, Eight s'entraîne avec Ayame et Nohara. Un jour, le directeur du lycée assigne une mission urgente à Iceman et demande tout à coup à ses élèves d'y participer ! Iceman, démontrant ses incroyables capacités, neutralise en une seconde le groupe de malfaiteurs et accomplit la mission ! Cependant... un assassin effrayant apparaît et met trois élèves en danger !Par la suite commence un épisode sur l'accès secret vers le légendaire lieu d'où la salle de bains des filles dans le dortoir peut être observé en toute discrétion !!;; Kurokawa (Shonen); 18/02/2019
008 : Apprenti Espion Vol. 5;9/10;Après avoir assisté impuissants à la chute de Nohara et Kamizuki, Eight et Sans Nom poursuivent leur périlleuse route menant au meilleur poste d'observation de la salle de bain du dortoir des filles... mais Eight tombe dans le bassin et est découvert par Ayame !  Une fois cette épreuve passée, Eight va aller de surprise en surprise en découvrant le passé mystérieux de Sans Nom, puis en faisant la rencontre du monstre légendaire du sous-sol de l'école, qui lui fera une surprenante révélation sur son père...;; Kurokawa (Shonen); 17/05/2019
008 : Apprenti Espion Vol. 6;9/10;Eight vient d'apprendre des choses importantes sur la mort de son père. Que va-t-il en penser et comment va-t-il réagir ?  Par la suite Eight, Ayame et Nohara s'infiltrent dans un lycée ordinaire pour enquêter sur de mystérieuses agressions violentes ! Ils profitent de la vie normale des lycéens, mais ça ne durera qu'un temps... Ils découvrent vite qui se cache derrière ces agressions !  Par ailleurs, le passé d'Ayame est révélé...;; Kurokawa (Shonen); 16/08/2019
008 : Apprenti Espion Vol. 7;8.75/10;L'examen réputé extrêmement dangereux voire meurtrier commence ! Echouer implique me renvoi immédiat du lycée sans condition...  L'équipe d'Eight est désavantagée dès le début. Néanmoins, pendant l'examen, ils vont au cinéma et Eight rencontre une fille mystérieuse ....;; Kurokawa (Shonen); 18/11/2019
008 : Apprenti Espion Vol. 8;9/10;L'examen prend une tournure de plus en plus violente. Un adversaire à la puissance démesurée se présente devant Eight. Celui-ci est loin d'être à son niveau, pour le moment. Malgré tout... il va devoir l'affronter. Entre avancer froidement et sans remords, et défendre la justice comme son père, Eight va devoir choisir quelle sorte d'agent secret il sera !!;; Kurokawa (Shonen); 18/02/2020
008 : Apprenti Espion Vol. 9;-/10;N/C;; Kurokawa (Shonen); 18/05/2020
008 : Apprenti Espion Vol. 10;-/10;N/C;; Shogakukan; 490 ¥
008 : Apprenti Espion Vol. 11;-/10;N/C;; Shogakukan; 490 ¥
008 : Apprenti Espion Vol. 12;-/10;N/C;; Shogakukan; 490 ¥
008 : Apprenti Espion Vol. 13;-/10;N/C;; Shogakukan; 490 ¥
008 : Apprenti Espion Vol. 14;-/10;N/C;; Shogakukan; 6.90 € / 490 ¥
008 : Apprenti Espion Vol. 15;-/10;N/C;; Shogakukan; 6.90 € / 490 ¥
008 : Apprenti Espion Vol. 16;-/10;N/C;; Shogakukan; 6.90 € / 490 ¥
008 : Apprenti Espion Vol. 17;-/10;N/C;; Shogakukan; 6.90 € / 490 ¥
008 : Apprenti Espion Vol. 18;-/10;N/C;; Shogakukan; 6.90 € / 490 ¥
008 : Apprenti Espion Vol. 19;-/10;N/C;; Shogakukan; 6.90 € / 490 ¥
008 : Apprenti Espion Vol. 20;-/10;N/C;; Shogakukan; 490 ¥
008 : Apprenti Espion Vol. 21;-/10;N/C;; Shogakukan; 490 ¥
008 : Apprenti Espion Vol. 22;-/10;N/C;; Shogakukan; 490 ¥
009 Re:Cyborg Vol. 1;6/10;Dans le but de conquérir la planète, la puissante organisation mafieuse Black Ghost enlève 9 humains afin de les transformer en cyborgs :  001 Ivan Whiskey (Russie), 002 Jet Link (Usa), 003 Francoise Arnoul (France), 004 Albert Heinrich (Allemagne), 005 Geronimo Junior (USA), 006 Chang Changku (Chine), 007 (Grand Bretagne), 008 Pyunma (Afrique) et 009 Joe Shimamura (Japon).  Chacun d'eux vient donc d'un pays différent (A part le numéro 2 et le numéro 5), et chacun est doté d'un pouvoir qui lui est propre. Mais un jour, les 9 se rebellent contre l'organisation et décident de détruire toutes les créations diaboliques de Black Ghost.;; Square Enix; 530 ¥
009 Re:Cyborg Vol. 2;-/10;Jet, qui n'a pas répondu à la convocation du Dr Gilmore, et la NSA, à laquelle il appartient, ont été impliqués dans les attaques terroristes mondiales. Ils planifiaient un attentat suicide... La justice de 009 est maintenant remise en question dans le tourbillon de la guerre, ballotté par le mystère et la suspicion.;; Square Enix; 639 ¥
009 Re:Cyborg Vol. 3;-/10;Joe et Jet se sont enfin retrouvés à Dubaï. Les deux, qui ont autrefois travaillé ensemble pour vaincre le mal afin d'obtenir la justice, s'affrontent comme s'ils étaient destinés à s'affronter dès le moment où ils se séparent. Et puis, à travers une brèche dans la bataille entre les deux Cyborgs, le nouveau jugement de Sa Voix sera transmis à l'humanité...;; Square Enix; 660 ¥
009 Re:Cyborg Vol. 4;-/10;"Afin de découvrir la véritable identité de ""la voix"", Jet travaille seul, et Heinrich et les autres Cyborgs, ainsi que le Dr Gilmore, démêlent le rapport d'enquête laissé par Punma. Mais ils sont alors acculés au pied du mur par une terrible conspiration...";; Square Enix; 649 ¥
009 Re:Cyborg Vol. 5;-/10;Gilmore est acculé par l'attaque féroce du soldat américain Lazarus, mais le retour de Joe sauve la situation. Cependant, le sous-marin nucléaire de la marine américaine, qui a disparu des radars, a des missiles nucléaires prêts et continue son compte à rebours vers l'extinction de l'humanité... En prévision de l'imminence de la catastrophe, 009 s'habille une fois de plus dans son costume de combat pourpre.;; Square Enix; 639 ¥
009 Re:Cyborg Vol. 6;-/10;Voilà enfin l'heure du dernier test de 009 : suivre la voix de Dieu et faire exploser un missile nucléaire avant qu'il ne rentre dans l'atmosphère. Joe s'envole dans l'espace, et bien qu'il s'attache au missile, celui-ci ne parvient pas à l'atteindre et il est projeté au fin fond de l'espace. Alors que tout le monde est sur le point d'abandonner, quelqu'un attrape soudainement la main de Joe...;; Square Enix; 639 ¥
009-1 Vol. 1;-/10;Dans un futur lointain, le monde est déchiré en deux blocs : l'Est et l'Ouest. Ces deux blocs connaissent une paix bien précaire et l'ombre de la guerre plane de plus en plus sur le monde. C'est dans ce contexte tendu que nous apparaît Mylenne Hauffman, l'agent secret du bloc Ouest désignée par le matricule 009-1. Avec 009-7, 009-3 et 009-4, elle doit récupérer en vie le docteur Soyuzu retenu captif dans le bloc Est. Celui-ci a découvert une nouvelle source d'énergie révolutionnaire, qui utilisée par des personnes mal intentionnées pourrait être à l'origine d'une arme plus dévastatrice que la bombe nucléaire. Alors qu'un traité de désarmement nucléaire est sur le point d'être ratifié par les deux blocs, ces recherches mettent la paix en péril. La mission de 009-1 ne doit en aucun cas se solder par un échec.;; Futabasha; 350 ¥
009-1 Vol. 2;-/10;N/C;; Futabasha; 350 ¥
009-1 Vol. 3;-/10;N/C;; Futabasha; 350 ¥
009-1 Vol. 4;-/10;N/C;; Futabasha; 350 ¥
009-1 Vol. 5;-/10;N/C;; Futabasha; 350 ¥
07-Ghost Vol. 1;8.75/10;"Teito Klein est un jeune étudiant de l'Académie militaire de Barsburg. Solitaire, il passe le plus clair de son temps en cours et en compagnie de Mikage son meilleur et seul ami. Peu après leur examen final, Teito rapporte des papiers lorsqu'il entend une conversation entre le Commandant Ayanami, qu'il a rencontré la veille, et ses hommes. Il est alors assailli par ses souvenirs et se souvient qu'Ayanami est l'homme qui a tué son ""père"" et l'attaque.";; Kazé (Shônen); 25/11/2005
07-Ghost Vol. 2;9.18/10;Après sa fuite, Teito a été conduit à l'Eglise où il s'est senti plus ou moins isolé jusqu'à l'arrivée de Mikage, partit à sa recherche. Mais Labrador ressent une ombre planée au dessus du jeune garçon. Serait-ce celle d'Ayanami ?;; Kazé (Shônen); 25/05/2006
07-Ghost Vol. 3;9.13/10;Après la mort de Mikage, Teito a du faire face et a accepter de se présenter au concours pour devenir évêque comme le lui ont proposés Frau, Castor et Labrador. Il rencontre alors Hakuren Oak, mais il hésite à en faire son amis, croyant mettre ainsi sa vie en péril.;; Kazé (Shônen); 27/11/2006
07-Ghost Vol. 4;9.16/10;Le cauchemar se poursuit, Ayanami étant prêt à tout pour récupéré Teito. Heureusement, Frau intervient et, grâce à l'aide de Labrador et Castor, parvient à faire valoir les droits de l'Eglise et à repousser les militaires. L'examen des aspirants évêques peut donc commencer.;; Kazé (Shônen); 25/05/2007
07-Ghost Vol. 5;9.14/10;Teito a réussi l'examen des évêques, mais suite à une action de l'armée, il doit quitter l'Eglise avec Frau dont il est l'apprenti. Tous deux partent alors en exploration à la recherche du passé de Teito, et de la signification du pays de Seles.;; Kazé (Shônen); 24/11/2007
07-Ghost Vol. 6;9.06/10;Teito a trouvé la maison Hausen abritant l'esprit de Fest. Il apprend alors de nombreuses choses sur le passé de Castor, mais aussi celui de Razette, ainsi qu'un fait commun à tous les Ghost.;; Kazé (Shônen); 24/05/2008
07-Ghost Vol. 7;8.81/10;Alors que Teito et Frau poursuivent leur voyage apprenant un peu plus de chose à chaque étapes, Hakuren, resté à l'Eglise, reçoit une lettre de la famille royale de Barsburg. Restera t-il avec Castor ou retournera t-il à la capitale ?;; Kazé (Shônen); 25/11/2008
07-Ghost Vol. 8;8.94/10;"Teito est arrivé au château de Raggs qui se trouve être également la maison de Vertrag. De leur côté, Castor et Labrador sont inquiet car il semble que des informations sur les précédents Ghost aient été perdus. Ils font donc appel à Relict qui peut ""voir le passé"" afin de comprendre la vérité sur la Boite de Pandore et Vertrag.";; Kazé (Shônen); 25/05/2009
07-Ghost Vol. 9;9.09/10;Teito et Frau poursuivent leur voyage à travers le pays afin de rejoindre les différentes maisons des Ghosts. En chemin, ils s'arrêtent dans une ville où Teito rencontre une étrange jeune fille. Elle se nomme Ouka et lui ressemble énormément, elle possède même un jeune dragon elle aussi. Les deux adolescents vont vite s'entendre, mais devront également affronté ensemble un adversaire peu commun.;; Kazé (Shônen); 25/11/2009
07-Ghost Vol. 10;9.13/10;Frau et Teito poursuivent leur voyage. Touché par la détresse de Capella, Teito a décidé de l'aider à retrouver sa mère. Le jeune garçon est ravi, mais lorsqu'ils arrivent à la maison où vit la mère de Capella, Teito et Frau sont mal à l'aise. Pourquoi cette riche dame a t-elle vendu son fils ?;; Kazé (Shônen); 25/08/2010
07-Ghost Vol. 11;9.3/10;Pour rejoindre le Premier District, où se trouve l'oeil de Mickael, mais aussi une autre maison de Ghost, Teito et Frau participent à une course en Hawkwile. Cela leur permettra de passer les barrages de l'armée sans encombre, mais tout ne se passe pas vraiment comme prévu.;; Kazé (Shônen); 25/01/2011
07-Ghost Vol. 12;9.31/10;"Après un ""repos"" bien mérité, la course reprend. Mais peu de temps avant l'arrivé, Teito est rattrapé par ses souvenirs ! En effet, la courses survole une ancienne zone d'affrontement entre Mickael et Raphael.  Sous le choc de ses souvenirs retrouvés, Teito tombe. Frau tente de le rattraper, mais l'ennemi est en embuscade.";; Kazé (Shônen); 25/07/2011
07-Ghost Vol. 13;9.29/10;Suite à l'accident et au combat avec Ayanami, Frau et Teito ont été séparés. Devenu totalement amnésique, Teito réintègre l'armée sous le commandement de son pire ennemi. Sécurisé à la capitale, il est devenu presque inaccessible aux Ghost, d'autant que deux sont potentiellement des traitres. Mais c'est sans compter sur Hakuren, qui le croise par hasard alors qu'il accompagnait Ouka.;; Kazé (Shônen); 24/12/2011
07-Ghost Vol. 14;9.44/10;"Suite à divers chocs, Teito finit par retrouver la mémoire, mais Mickael, qu'Ayanami lui a rendu, a été hypnotisé, et attaque Frau pour ""défendre"" son maître. Ce dernier finira par le réveiller mais trop tard. Dans le même temps, Ouka, princesse de Barsburg, est sur le point de devenir impératrice, mais le régent ne l'entend pas de cette oreille ! Les complots se font de plus en plus nombreux autour de la jeune princesse, risquant à tout moment de la tuer, et avec elle, peut-être la seule personne capable de contrôler l'oeil de Raphael.";; Kazé (Shônen); 25/06/2012
07-Ghost Vol. 15;9.29/10;La princesse Ôka est encore sous le choc de sa mémoire retrouvée. Réplique créée en laboratoire, elle a servi de substitut à la véritable princesse, morte à l'âge de 3 ans alors qu'on tentait de la faire entrer en résonance avec Raphaël. Pendant ce temps, Teito se confronte à Wolfram, père d'Ôka et empereur de Barsburg, et l'interroge sur l'ombre noire tapie en lui. Il apprend alors que le souverain, incité par le fauteur de guerre, avait déclenché un conflit contre le royaume de Raggs afin de mettre la main sur Milaya, dont il était éperdument amoureux. Une femme liée à Teito…;; Kazé (Shônen); 25/12/2012
07-Ghost Vol. 16;9.1/10;Teito a enfin retrouvé son passé, ainsi que sa mère. Mais les événements se précipitent et il n'a pas vraiment le temps d'en profiter. De plus, il semblerait que Mickael ait été endommagé lors de son combat contre Ouka, ce qui n'arrange pas ses affaires.;; Kazé (Shônen); 25/05/2013
07-Ghost Vol. 17;9.11/10;Teito a retrouvé son passé et ses origines mais c'est maintenant au tour de Frau d'être rattrapé par le sien. En tentant de le secourir, Teito rencontre un Frau plus jeune, et découvre le passé de celui qui l'a toujours protégé.;; Kazé (Shônen); 25/09/2013
1 Oto 5 Tsuma, Boku ga Moteru Riyuu Vol. 1;-/10;Kazuo, jeune homme, salary-man vit avec 5 filles différentes. Il va devoir se marier avec l'une d'entre elles, mais il ne sait pas encore laquelle choisir...;; Akita Shoten; 607 ¥
1 Oto 5 Tsuma, Boku ga Moteru Riyuu Vol. 2;-/10;N/C;; Akita Shoten; 607 ¥
1 Oto 5 Tsuma, Boku ga Moteru Riyuu Vol. 3;-/10;N/C;; Akita Shoten; 607 ¥
1 Oto 5 Tsuma, Boku ga Moteru Riyuu Vol. 4;-/10;N/C;; Akita Shoten; 607 ¥
1 Pound no Fukuin Vol. 1;8.75/10;Kosaku est un jeune boxeur professionnel qui n'arrive malheureusement pas à garder son poids. C'est-à-dire qu'il ne fait que manger, et ce, toute la journée, lui faisant prendre du poids, au plus grand malheur de son coach.  En effet, un boxeur professionnel est enregistré dans une catégorie qui est comprise entre X et X kilos. Si celui-ci dépasse la limite, il est disqualifié pour son match prévu.  C'est pourquoi Kosaku va souvent se confesser à Sœur Angela, pour qui il éprouve des sentiments.;; Shogakukan; N&B
1 Pound no Fukuin Vol. 2;9.67/10;"Il y a quatre ans, au Hall Korakuen, Kosaku s'apprête à exécuter son examen de P-pro. Pour s'encourager, il a fait un pari avec son coach ; s'il passe du premier coup, ce dernier devra lui offrir un steak. Cependant, son adversaire n'est autre que Tarô Matsuzaka, un professionnel dans la catégorie poids mouche. Mais Kosaku est si motivé à l'idée d'avoir son steak qu'il met Tarô K.O. en un coup dès le début !  Quatre ans plus tard, de nos jours, le coach de Kosaku lui annonce qu'il va de nouveau affronter Tarô... mais en combat poids plume ! Ce qui dit évidemment régime drastique...";; Shogakukan; N&B
1 Pound no Fukuin Vol. 3;9.67/10;Un mois avant son prochain combat, Kosaku s'évanouit sur le ring. Alertée, Sœur Angela enfourche son vélo pour aller le voir. Finalement, plus de peur que de mal puisqu'il ne s'agit que d'une simple intoxication alimentaire. Sur le chemin du retour, le Coach se fait agresser par un jeune homme nommé Yoshihiko. Ce dernier voudrait en effet passer deux ou trois semaines dans un gymnase de Tokyo. Devant le refus du Coach, l'homme accompagnant Yoshihiko essaye de le soudoyer... Finalement, le Coach accepte et décide de l'entraîner en même temps que Kosaku. Cependant, le jeune garçon semble le prendre pour modèle...;; Shogakukan; N&B
1 Pound no Fukuin Vol. 4;10/10;N/C;; Shogakukan; 223
1 Senchi Yori mo Chikaku Vol. 1;7.33/10;Kazumi, une jeune lycéenne en section art est secrètement amoureuse d'un senpai. Tous les jours, elle s'isole sur une colline pour le dessiner, sans avoir le courage de lui parler. Mais un jour, un garçon très tactile de sa classe, décide de l'aider à prendre confiance en elle et vaincre sa timidité.;; Kodansha; 472 ¥
