Title;Description;Origine;Type;Genres;Thèmes;Scénariste;Dessinateur
10 Years in the Friend Zone;"En règle générale, lorsqu'une personne est rejetée après avoir avoué ses sentiments à quelqu'un, le rejeté essaie de passer à autre chose. Ils ne restent certainement pas amis ... À moins que vous ne soyez Shi Ho et Yul. Les deux sont nés le même jour et fréquentent les mêmes écoles depuis dix ans. Ils ont également joué à un petit jeu où Shi Ho avoue ses sentiments pour Yul, et Yul lui dit d'essayer plus fort. Le résultat? Shi Ho est devenu un élève parfait, et toutes les filles à l'école l'aiment. Mais maintenant, les deux ont commencé le lycée ensemble et il semble que le petit ""jeu"" auquel ils ont joué puisse avoir plus de joueurs. Les règles changent rapidement - est-il trop tard pour que quelque chose de plus se développe entre Shi Ho et Yul?";Corée du Sud - 2018;Manhwa;Romance - School Life;Amitié - Amour - Ecole;Nim Ni;Nim Ni
10 Years That I Loved You the Most;Il s'agit de l'adaptation du webnovel chinois du même titre.  He Zhi Shu apprend qu'il est gravement malade et seul son médecin l'aide à porter ce poid. Son compagnon, Jiang Wen Xu, tenu dans l'ignorance, a totalement changé au cours des dernières années. Zhi Shu décide de partir... Mais malgré la douleur et les trahisons, les dix années où ils se sont le plus aimés ne s'effacent pas facilement.;Chine - 2018;Manhua;Drame - Psychologique - Romance - Shônen-aï;Adultère - Amour - Homosexualité - Maladie;;Tofu Manhua
10-nen Shitenai Sudachi-san;Chikako Sugata a passé ses 20 ans à la campagne sans aucune romance. La jeune fille de 32 ans décide de faire revivre sa jeunesse à Tokyo! Et pour se faire des souvenirs avant de déménager à Tokyo, elle a visité un bar pour coucher avec un homme dans la nuit ?!;Japon - 2019;Josei;Comédie - Drame - Psychologique - Romance - Slice of Life;;Takada Rose;Takada Rose
10-nenkan Karada wo Nottorare ni Natteita Watashi ni, Nidoto Kao wo Miseru na to Konyaku Haki shite Kita Kishi-sama ga Kyou mo Sugatte Kuru;Pendant 10 ans, Sadie a vu son corps être échangé avec celui d'une autre. Elle qui était la jeune fille d'un comte s'est ainsi trouvée du jour au lendemain dans le corps d'une esclave, forcée à travailler dans les champs. Mais au moment où elle revient finalement dans son corps d'origine, elle découvre un homme qui lui est inconnu déclarer rompre ses fiancailles avec elle !  Ayant ainsi retrouvé sa vie d'avant, Sadie doit désormais réparer les 10 ans de mal que celle qui se trouvait dans son corps a causé, tout en cherchant qui lui a infligé cette épreuve et pourquoi. Mais fort heureusement pour elle, Sadie ne fut pas la seule enfant à s'être trouvée dans cette malheureuse situation...;Japon - 2022;Shojo;Drame - Mystère - Romance - Surnaturel;Amour - Magie;Kotoko (auteur);botemaru
10-sai no Hoken Taiiku - Hoshuu Hen;Himetake Shizuhime, qui va à l'école Hitotsuzaka, est une enfant à problèmes avec un caractère sans précédent. Un jour, alors qu'elle menait sa vie de trouble-fête comme d'habitude, elle s'est réveillée et a constaté que son corps était devenu plus petit ! Son corps reviendra-t-il à la normale ? Ou bien va-t-elle l'utiliser à son avantage et planifier quelque chose de mal ?;Japon - 2013;Seinen;Comédie - School Life - Surnaturel - Yonkoma;;Takei Touka;Watari Masahito
100;"Si Ho Yeong, agent de la sécurité intérieure, a braqué une banque en plein milieu de Busan et massacré sans pitié des innocents, c'est justement pour être condamné à la sentence la plus lourde pour qu'il puisse s'infiltrer dans un jeu illégal de survie, le ""Battleground"" Dans ce jeu, il devra effectuer une mission de sauvetage, mais parviendra-t-il à y arriver ?";Corée du Sud - 2021;Manhwa;Action - Aventure - Drame;Combats - Crime - Survival game;;Choi Yoon Yeol
100 - Handred - Takabatake Enaga Tanpenshuu 2;"Deuxième recueil d'histoires courtes par Takabatake Enaga.  100 -Handred- : Sur une Terre devenue désertique, une mystérieuse boîte a autrefois été édifiée au cœur de la ville d'Abovesand. On raconte que seul les ""gardiens des clés"" peuvent ouvrir les secrets qu'elle renferme, mais cela fait déjà sept ans que ces derniers ont disparu sans laisser de traces.  Saejima-san  Bonus Gamer Coming Out!  Jousou Kyoudai : Surprenant son frère en train d'essayer des vêtements féminins ""juste pour voir"", il se retrouve à devoir lui aussi les essayer et se prend au jeu.";Japon - 2012;Shonen;Action - Aventure - Comédie - Histoires courtes - Science-fiction;Chasseur de prime - Crossdressing - Famille - Mechas - Post-apocalyptique - Robots;Takabatake Enaga;Takabatake Enaga
100 Days Dream;Ce one-shot raconte l'histoire d'une femme sachant voler et pouvant parler aux arbres et aux animaux. Elle mène ainsi sa journée dans les cieux, discutant avec une mésange couvant ses petits, et avec un arbre souffrant du froid de la nuit.  Cela est au final un rêve d'une jeune handicapée des jambes dans un hôpital.;Corée du Sud - 2005;Manhwa;Drame - Fantastique - Slice of Life;Maladie - Rêves;Sa-Sook;Sa-Sook
100 Days to Love You;Chu Tian Chi, l'empereur de l'état de Wu a capturé l'empereur de l'état de Yue et a décidé de le décapiter dans 100 jours. Pour sauver son ancien maître, Shen Yan Fei a juré de tuer Chu Tian Chi dans les 100 jours et de renverser sa dynastie. Mais après avoir passé du temps avec lui, elle a réalisé que Chu Tian Chi n'était pas un mauvais homme. Comment va-t-elle procéder avec son plan si elle ne veut plus le tuer ?;Chine - 2019;Manhua;Drame - Historique - Romance;Amour - Royauté - Vengeance;;
100 Demons of Love;Coco, 15 ans est une jeune fille qui a la particularité de voir les fantômes. Mais un jour, en allant au lycée elle voit pour la première fois deux démons, deux frères terriblement beaux : Léo et Toa. Alors qu'elle se fait agresser par l'esprit d'un chien noir, Coco, pleine de pitié pour cet esprit, dégage un pouvoir spécial qui va intéresser les deux frères démons. Quel est ce pouvoir qui habite la jeune et qui attire les démons?;Japon - 2013;Shojo;Fantastique - Mystère - Romance - Surnaturel;Démons - Harem inversé;Toriumi Pedoro;Toriumi Pedoro
