Title;Description;Origine;Type;Genres;Thèmes;Scénariste;Dessinateur
11eyes - Tsumi to Batsu to Aganai no Shoujo;Satsuki Kakeru a perdu sa sœur aînée, il y a cinq ans de cela. Depuis il tente de revenir à une vie normale, il a aussi une amie d'enfance, Minase Yuka qui va dans la même école secondaire que lui et qui depuis essaie de lui rendre sa joie d'autrefois...  Un jour, le ciel changea de couleur, il vira au rouge et la lune devint noire, tous les gens disparurent à part eux. Depuis lors, Kakeru et Yuka, luttent tous deux contre les monstres apparus à la place des gens et découvrent que six personnages seraient la cause de ce phénomène mystérieux...;Japon - 2009;Seinen;Action - Drame - Ecchi - Fantasy - Romance;Combats - Harem - Magie;Ayano Naoto;Ayano Naoto
12 ans;Hanabi a douze ans, l'âge où l'on n'est plus une enfant, mais pas encore une adulte, où l'on se rend compte avec embarras qu'on n'a pas encore embrassé un garçon quand on surprend deux de ses professeurs à s'embrasser en cachette, et l'âge où notre amie nous apprend qu'elle a ses règles alors qu'on attend toujours. De son côté, Yui, la meilleure amie d'Hanabi, jeune fille sérieuse et un peu effacée, tombe amoureuse d'un garçon de sa classe qui n'arrête pourtant pas de l'embêter...;Japon - 2012;Shojo;Drame - Romance - School Life;Amitié - Ecole - Quotidien;Maita Nao;Maita Nao
12 Beast;Touga Eita est un lycéen en seconde année, il adore les jeux vidéo et est assez lâche face aux situations risquées. Il est l'héritier d'une lignée distinguée de ninja mais n'en à que faire.  Tout se passe calmement dans sa vie jusqu'au jour où une fille avec des ailes se présente à lui, elle se nomme Aero et c'est une harpie. Elle demande à Eita de l'accompagner dans son monde pour sauver son peuple de robots géants nommés les Gigas.  Commence alors une aventure pour Eita et sa nouvelle alliée, dans un monde rempli de créatures fantastiques et de dangers.;Japon - 2013;Shonen;Action - Aventure - Comédie - Drame - Ecchi - Fantasy;Autre monde - Harem - Monster Girl;Inui Takemaru;Inui Takemaru
12 Kounen no Motoko;Motoko confesse son amour à Shinsei mais ce dernier lui répond qu'il ne s'intéresse qu'au football. La santé de Motoko n'est pas bonne et elle doit régulièrement rester à l'hôpital. Elle essaye, cependant, de passer autant de temps que possible avec Shinsei.;Japon - 1988;Shojo;Drame - Romance - Science-fiction;;Honda Keiko;Honda Keiko
12 mois;C'est l'histoire d'une fille appelée Tosachi, qui vit dans la préfecture de Merino au Japon. Cette certaine Toshachi est toujours joyeuse et en pleine forme, avec ses deux amies Dorimi et Merino elle fait toujours de bonnes aventures.  Au début du printemps, un beau garçon appelé Shu arrive à leur école et Tosachi tombe tout de suite amoureuse de lui... . Mais ce dernier commence à sortir plus tard avec Dorimi et c'est à ce moment là que Tosachi connait la jalousie...;Japon - 2002;Shojo;Action - Romance;;Okazaki Mari;Okazaki Mari
12 Nuits;En fuyant un palais en flammes, deux jeunes garçons ont échappé à la pire mort. Une identité secrète suffira-t-elle à les protéger ? 10 ans après leur fuite, ils se cachent toujours et vivent sous une fausse identité dans la plus célèbre maison de joie du royaume ! L'un est musicien et l'autre est... courtisane. Favorite même, car elle a son petit succès. Au point de se mettre en danger ?;Corée du Sud - 2012;Manhwa;Fantastique - Historique - Romance;Amour - Crossdressing - Famille - Politique;Muryu;Muryu
12-ji no Kane ga Naru;Ceci est une revisite du célèbre conte de Cendrillon en une version horrifique.  Suite au bal organisé par le prince du royaume, Cendrillon redevient la pauvre souillon qu'elle était avant cette merveilleuse nuit. Ce qu'elle ignore, c'est qu'elle est recherchée par tout le royaume.;Japon - 2011;Shojo;Fantasy - Horreur - Romance;;Kishimoto Seishi;Kishimoto Seishi
13;Dans la classe du jeune Fujieda, personne ne parle à l'énigmatique Gorogo Izayo, surtout depuis qu'elle a déclaré dans une dissertation que toute sa famille était composée d'assassins ! C'est justement depuis ce jour que Fujieda va tenter de se rapprocher de la jeune fille.  Malheureusement pour lui, sa maladresse humilie Izayo et cette dernière jure sur l'honneur de sa famille qu'elle va le tuer.;Japon - 2008;Shonen;Comédie - School Life;Adolescence - Amour - Assassinat - Combats - Ecole;Sorachi Hideaki;Sorachi Hideaki
13 club;Il existe un mystérieux site internet nommé 13 Club sur lequel on peut lire d'étranges histoires. Son propriétaire, Kudan, voyage à travers le monde afin de rencontrer des hommes et des femmes et alimenter sa collection. Entrez et découvrez leurs histoires...;Japon - 2008;Seinen;Drame - Horreur - Mature - Mystère - Psychologique;Crime - Secrets;Shihira Tatsuya;Shihira Tatsuya
13th Boy;C'était le coup de foudre. Au moment où les yeux de Hee So rencontrèrent ceux de Won Jun, elle sut que c'était censé être. Leur relation a décollé lorsque Hee So a avoué ses sentiments à la télévision nationale, mais moins d'un mois plus tard, Won Jun est prêt à arrêter sans aucune explication. Hee So a eu beaucoup de petits amis – Won Jun est le numéro douze – mais se faire larguer n'est jamais facile. Elle n'est pas encore prête à passer au treizième garçon. Déterminé à retrouver Won Jun, Hee So a pour mission de reconquérir son amour destiné une fois de plus.;Corée du Sud - 2004;Manhwa;Comédie - Fantasy - Mystère - Romance;Amitié - Amnésie - Amour - Super pouvoirs;Lee Sang Eun (manhwaga);Lee Sang Eun (manhwaga)
14 Kagetsu - Tsuma ga Kodomo ni Kaette iku;Yuko Igarashi est une présentatrice indépendante qui doit désormais faire face à ce qu'avoir 35 ans signifie dans sa carrière professionnelle et dans sa vie personnelle, notamment après qu'elle ait fait une fausse couche. Déprimée, Yuko prend un médicament dont on dit qu'il serait capable de faire rajeunir. D'abord sceptique, elle ne va pas tarder à en ressentir les effets... Tandis qu'elle rajeunit de plus en plus vite, elle et son mari vont faire de leur mieux pour tenter de stopper le processus.;Japon - 2004;Shojo;Drame - Romance - Surnaturel;Amour - Jeunesse;Azuki Yu;Azuki Yu
14-sai no Koi;Kanata Tanaka et Kazuki Yoshikawa ont tous les deux quatorze ans et sont considérés par leurs camarades comme des personnes très matures pour leur âge. Pour cette raison, ils sont plutôt populaires. Mais, en réalité, quand ils sont juste tous les deux, ils se comportent de la même façon que les autres jeunes gens de leur âges. A l'inverse, dès qu'ils sont en classe, ils ne se parlent jamais et font comme s'ils ne se connaissaient pas. Alors qu'ils sont de corvée ensemble pour la journée, ils prennent conscience l'un de l'autre et, qu'à force de faire semblant d'être mature, ils le sont réellement devenus. Dès lors, ils décident de sortir ensemble.;Japon - 2010;Josei;Comédie - Romance - School Life;;Mizutani Fuka;Mizutani Fuka
14-sai to Illustrator;Yuto Kyobashi est un illustrateur de light novels qui a un gros fétiche pour les nombrils de femmes. Il adore les dessiner et les observer ! Il fait alors la rencontre de Nonoka Nogi, une jeune cosplayeuse de 14 ans, fan de son travail, qui va commencer à l'aider à son quotidien dans ses tâches ménagères.;Japon - 2018;Seinen;Comédie - Ecchi - Romance - Slice of Life;Amour - Fétichisme - Otaku - Quotidien - Travail;Murasaki Yukiya;Kamelie
14R;Recueil comprenant 5 histoires :  1) 14R :  Kawamura Tamaki a 14 ans et est vu comme une représentante de classe très sérieuse, par tout le monde. Elle peut aussi tomber amoureuse et ...?!  2) Mahiru ni Kakedasu  3) Watakushi-sama  4) Koi wo Hajimeru Bokutachi ni  5) Daily News :  Deux jumelles se soutiennent mutuellement, mais un garçon peut-il les séparer?;Japon - 2007;Shojo;Romance - School Life;;Maki Yoko (mangaka);Maki Yoko (mangaka)
15 : Meisetsu Technical High School Rugby Football Club;"Akira Uchigawa est un tout jeune lycéen au lycée Meisei. Il a perdu ses parents très tôt et a toujours été seul. N'ayant personne à qui il pouvait confier sa passion pour le rugby sur la petite île de pêcheur où il vivait, il décide de s'inscrire dans ce lycée pour y intégrer l'équipe. En effet, faire du rugby représente deux choses importantes pour lui: l'amitié ainsi que le plaisir de jouer. Il souhaite aussi parvenir un jour, avec son équipe, au Koushien du rugby, le Hanazono.  En parallèle l'équipe de rugby de Meisei connait de grandes difficultés. Ayant perdu tous ses derniers matchs, ainsi que quelques joueurs, le capitaine Yui Ebina, fait de son mieux pour motiver l'équipe et atteindre son but le Hanazono. Son seul recourt: trouver quelqu'un d'assez fort pour marquer.  L'équipe découvre alors Akira, en train de tirer de façon incroyable dans son ballon de rugby, son seul ""ami"". Une chance incroyable se présente alors pour chacun, Akira va pouvoir jouer dans une équipe de rugby, se faire des amis et Yui va pouvoir remotiver son équipe! Pourront-ils parvenir jusqu'à leur but, le Hanazono?";Japon - 2010;Shonen;;Rugby - Sport - Tournois;Naruse Yoshiki;Naruse Yoshiki
1518!;Sachi Maruyama est une jeune fille qui vient d'entrer au lycée. Dès la rentrée, elle découvre les nombreux clubs que proposent son nouvel établissement, mais aucun ne l'intéresse réellement. Elle est alors invitée par l'un de ses anciens camarades du collège à rejoindre le conseil des élèves. Elle accepte et va y faire la rencontre de Karasuya, un garçon qu'elle avait déjà remarqué trois ans auparavant, sur un terrain de baseball.;Japon - 2014;Seinen;Romance - School Life;Adolescence - Amour - Baseball - Club - Ecole;Aida Yu;Aida Yu
16 Sai, Kare ni Himitsu de Kimi to Kisu shita;Pendant le festival, Kana tente de se confesser à son ami d'enfance, Tomoki. Il lui répond de venir le retrouver demain au sanctuaire pour parler de tout ça. Cependant, le lendemain il lui pose un lapin. Kana commence à paniquer de ne jamais revoir Tomoki.;Japon - 2016;Shojo;Drame - Romance - School Life;Amour - Triangle amoureux;Imasawa Maiko;Imasawa Maiko
16-sai, Shinkon Hajimemashita.;16-sai, Shinkon Hajimemashita. est un recueil d'histoires courtes signées Kayoru.  Chapitre 1 et 2 : 16-sai, Shinkon Hajimemashita. Chapitre 3 : Akuma no Yuuwaku ni, Amaku Torokeru Chapitre 4 : Idol-sama wa Watashi ni Muchuu?! Chapitre 5 : (Sokuhou) Class no Ikemen ga Watashi no Kamikyoku ni Muchuu na Ken.;Japon - 2014;Shojo;Histoires courtes - Romance - School Life;Amitié - Amour - Ecole;Kayoru;Kayoru
16+12 - Nijuuhachi;Kaburagi Shiyu, 12 ans, n'est pas tout à fait comme les autres : elle se souvient en effet avec précision de sa précédente vie, celle de Yuu, une jeune fille de 17 ans. C'est alors qu'elle retrouve Chiharu, le garçon dont Yuu était amoureuse.;Japon - 2021;Shojo;Romance - Surnaturel;Amour - Réincarnation;Harada Yui;Harada Yui
1661 - Koxinga Z;A la fin du XVIIème, la compagnie des Indes orientales a étendue son emprise sur la moitié du globe et a laissé des empreintes sanglantes partout où elle rencontrait de la résistance.  Pourtant, en 1661, une force arrive au sud de l'île paradisiaque de Formose.  Frederick Coyett, dernier gouverneur néerlandais de Formose, va faire face à 25 000 soldats chinois menés par Koxinga, le jeune loyaliste Ming et fils d'un pirate qui transformera Formose en Taïwan.  Un One-shot sur une bataille historique autour de l'autodétermination avec une inspiration à la 300.;Taïwan - 2017;Manhua;Action - Historique;;Li Long Jie;Li Long Jie
16bit Sensation;En 1992, une étudiante universitaire, Meiko Uehara, commence à travailler à temps partiel chez un fabricant de jeux érotiques. Elle est douée pour le dessin et est nommée graphiste, mais elle n'a jamais dessiné d'illustrations pour adultes auparavant et n'a aucune idée de ce qu'il faut faire... Sera-t-elle capable de mener à bien son jeu érotique ?;Japon - 2020;Seinen;Comédie - Slice of Life - Yonkoma;Art - Jeux vidéo - Nostalgie;Wakaki Tamiki;Wakaki Tamiki
17 ans - Une chronique du mal;Sachiko n'a que 17 ans. Et c'est parce que de jeunes garçons veulent s'amuser qu'elle se retrouve séquestrée et va subir brimades, agressions et tortures des semaines durant. Personne ne veut la libérer car tous ont peur de faire face aux conséquences ! Personne ne semble se soucier de son sort, ni la police ni les parents. Seule sa sœur jumelle poursuit sans relâche les recherches car elle sait que sa sœur est en danger. Arrivera-t-elle à la retrouver avant que l'irréparable ne se produise ?;Japon - 2004;Seinen;;Crime - Faits réels - Harcèlement - Viol;Fujii Seiji;Kamata Yoji
17 Guyz;Le volume contient six chapitres, les deux derniers chapitres sont des one-shot.  Chapitre 1-4 :  Haruhiko et Ken'ichi sont deux amis du lycée, âgés de 18 et 16 ans. Ils sont inséparables et travaillent comme mad dogs pour la mafia. Lorsque Ken'ichi est enlevé et tabassé par un gang voisin, Haruhiko vole à son secours et par la même occasion, lui avoue ses sentiments qui sont réciproques.Commence alors leur idylle entre les crises de jalousie d'Haruhiko, qui ne supporte pas que Ken'ichi parle de leur sensei, et leur boulot de botter les fesses aux gangs voisins.  Chapitre 5 :  Sakai est un jeune homme qui n'a pas vraiment de chance avec les femmes : elles partent toutes les unes après les autres. Se présente alors un jeune garçon du nom de Yuu, qui dit être le frère de Miki, la nouvelle ex de Sakai. Mais en réalité, c'est le frère d'une autre ex. Quant à Sakai, il ne peut s'enlever Yuu de la tête.  Chapitre 6 :  Yan Yingcheng est une jeune coiffeur beau et sportif qui coiffe Ganle Chencheng, un rédacteur de magazine de mode assez charmant. Yan est envouté par la beauté du rédacteur et lui propose de devenir son coiffeur personnel, mais Ganle veut juste que ce dernier lui fasse une nouvelle coupe de cheveux. La tâche va être plus dure que prévu surtout quand on aime la beauté d'un homme aux cheveux mi-longs.;Japon - 2000;Yaoi;Action - Drame - Romance - Shônen-aï;;Nitta Youka;Nitta Youka
17 Nenme no Jounetsu;"""Je peux le dire. Au moment où nous nous sommes regardés, j'ai su que c'était lui"".  Sur ces mots, Ran, qui aspire à un amour comme sa sœur mariée, a fait la rencontre de l'amour de sa vie. Les sentiments de Ran ont émergé dans son cœur. Mais un petit problème demeure : celui qui fait battre son cœur n'est autre que son professeur, et lui ne la voit que comme son élève.  Ce manga contient aussi deux autres histoires courtes.";Japon - 1999;Shojo;Drame - Histoires courtes - Romance;Amour - Ecole;Kuwaki Saori;Kuwaki Saori
17-21;À travers quatre récits de jeunesse dessinés entre 17 et 21 ans, découvrez les origines de l'oeuvre du génial Tatsuki Fujimoto, l'auteur de Chainsaw Man !  Thématique post-apocalyptique, atmosphère étrange et inquiétante, humour basculant dans la violence, antihéros naïfs et dépassés par les évènements... Les principaux motifs chers à Fujimoto sont déjà présents. Derrière les tâtonnements et les idées qui fusent, la force narrative de l'artiste se déploie à travers des récits tous saisissants.;Japon - 2011;Anthologie;Action - Comédie - Histoires courtes - Romance;;Fujimoto Tatsuki;Fujimoto Tatsuki
17-Sai;Recueil de quatre oneshots.  PS : Je t'aime :  Arisu, travaillant dans une librairie à temps partiel, découvre un jour un mot d'amour coincé dans un bouquin du rayonnage. Un mot signé Tsubaki Himura. Serait-ce le même Tsubaki dragueur de sa classe ?  Koibana - Koi :  Yûka, 20 ans, est la numéro un d'un club d'hôtesses. Malgré ça, elle est toujours vierge, ce qui attire bien évidemment bon nombre de ses clients qui espèrent chaque soir de pouvoir passer à l'acte. Un soir, un nouveau client réservé fait son apparition et la demande. Hiroshi, 23 ans, n'est jamais sorti avec une femme auparavant, et désire donc s'entraîner.  17 sai :  Yû Nakura a vécu une relation douloureuse après avoir surpris son petit ami en train de la tromper après trois mois de relation. C'est ainsi que dorénavant, elle refuse toutes relations non sérieuses. Riku Kashiwada, son meilleur ami, n'hésite pas à la défendre quand elle en a besoin.  Happy Honey :  Mitsuki se voit confesser son amour par un garçon métisse ressemblant fortement à un Américain. Le lendemain, Philip, le garçon qui s'est confessé à elle, la surprend sur le toit de son école et lui annonce qu'il retourne en Amérique dans 10 jours. Il se met donc au défi de la faire succomber à son charme avant son départ.;Japon - 2007;Shojo;Comédie - Drame - Erotique - Romance - School Life;;Mikimoto Rin;Mikimoto Rin
17-sai Kara Yarinaosu Propose;"""J'aurais aimé tomber amoureuse de toi quand j'étais au lycée..."".  C'est par ces mots inexplicables que la petite amie adorée d'Osamu rejette sa demande en mariage. Plus tard, il est victime d'un accident et est renvoyé dans le passé, à l'époque où il était lycéen. Osamu essaie alors de retrouver sa petite amie et de se mettre avec elle, mais lorsqu'il la rencontre à nouveau, il se rend compte qu'elle a une jumelle... !";Japon - 2022;Shonen;Comédie - Romance - School Life;Amour - Ecole - Triangle amoureux - Voyage temporel;Itaba Hiroshi;Itaba Hiroshi
17-sai Tabidachi no Futari;Risa et Maiko, deux filles de 17 ans, vont vite devenir amies peu de temps après leur rencontre. Rapprochées par leur solitude et leur tristesse, elles vont apprendre ensemble à apprécier la vie. Mais dès qu'elles vont commencer à devenir plus proche, le destin est amené à les séparer dans des directions différentes.;Japon - 2003;Shojo;;;Higashi Taeko;Shirasawa Marimo
170 cm Otometica;Karen rêve d'être un grand modèle. Mais un jour, le bureau où elle travaille fait faillite. Soudain apparaît Nanaigotuchi, un génie artistique réputé dans le monde entier. Il est connu pour être capable de changer n'importe quelle fille en un véritable top modèle. Karen décide de travailler dur pour arriver à devenir une belle jeune femme !;Japon - 2013;Shojo;Comédie - Romance;;Sakura Megu;Sakura Megu
18 Bromance;Jutin et Ian étaient de bons amis, jusqu'à ce qu'un malheureux mot les fasse passer pour un couple aux yeux de la classe. Maintenant que les deux garçons ont 18 ans, leur amitié peut-elle aller plus loin ?;Chine - 2016;Manhua;Romance - School Life - Shônen-aï - Slice of Life;Amour - Ecole - Homosexualité - Quotidien;Jiu Gong;Jiu Gong
18 Diary;Recueil de trois histoires courtes écrites et dessinées par Shoko Akira.  1. 18 Diary 2. De 17 Seisho 3. Tadashii Hoshi no Miagekata;Japon - 2003;Shojo;Drame - Romance - School Life;;Akira Shoko;Akira Shoko
18 Eighteen;Keiichi, 18 ans, a déménagé dans une ville de campagne pour des raisons familiales.  Keiichi souhaite une vie discrète et calme, mais Leo, un inconnu rencontré sur le trajet de son déménagement, l'accompagne jusqu'à sa nouvelle destination ... Mais on peut dire que tout ne ce passe pas comme Keiichi l'aurait souhaité, même si tout cela reste quelque peu chaleureux.  La nouvelle vie de Keiichi commence.;Japon - 2020;Shonen;Comédie - Slice of Life;;Yoshino Satsuki;Yoshino Satsuki
18-ji Kara Boku no Mono;Nous suivons une jeune fille du nom de Sachi qui vient de perdre sa mère et qui se retrouve à hériter d'une énorme somme d'argent. Sachi, pour combler sa solitude, dépense son argent sans compter. Mais cela ne suffit pas à combler son malheur...;Japon - 2022;Shojo;Comédie - Drame - Romance;;Notoyama Keiko;Notoyama Keiko
18-Sai, Niizuma, Furin Shimasu.;Asuka est l'héritière d'un immense domaine, appelé l'Empire Sanjou. Avec son diplôme d'études secondaires, elle doit épouser son garde du corps Akira.;Japon - 2019;Josei;Comédie - Drame - Romance - Slice of Life;Amour - Mariage - Royauté;Watanabe Shiho (mangaka);Watanabe Shiho (mangaka)
18se, Uri Gyeolhonhaesseoyo;La vie n'est pas terrible quand elle est composée d'une sœur têtue, d'une mère célibataire et d'un père qui vous a quittées pour quelqu'un d'autre ? Comme si cela ne suffisait pas, vous rencontrez un nain qui fait partie d'un célèbre groupe de garçon ? Comment cela pourrait être pire ?!;Corée du Sud - 2008;Manhwa;Comédie - Romance - School Life - Surnaturel;Adolescence - Amour - Mariage;Han Yu Rang (manhwaga);Han Yu Rang (manhwaga)
19 Segimal Bimangrok;Après une tragédie, un frère et une sœur ont été séparés, ils ne se sont pas vu pendant des années et maintenant ils ont l'occasion de se revoir. Les retrouvailles se passent bien, chacun est ravi de retrouver un autre membre de sa famille, cependant derrière ce manoir où ils vivent désormais se cachent de sombres secrets et avec des sentiments interdits naissant entre les deux protagonistes, la mort de leur parents n'est pas la seule tragédie qui les attendent. Surtout que plus la jeune sœur réfléchit plus elle est persuadée que l'homme qui vit avec elle n'est pas son frère.  Les mystères qui entourent cette demeure et cette famille restent entier.;Corée du Sud - 2016;Manhwa;Historique - Mystère - Romance;Contes et légendes - Famille - Mensonges - Secrets;;DUNDUN
19 Tian;"19 Tian est un webtoon qui relate le quotidien d'un garçon nommé Zhan Zheng Xi et de son meilleur ami Jian Yi. Des situations imprévisibles, parfois grotesques parfois embarrassantes, viennent combler leur petite vie banale à l'école comme à la maison.  Entre Zhan Zheng Xi un hétéro ""je-m'en-foutiste"" mais protecteur envers son meilleur ami et Jian Yi qui ne cesse de lui tourner autour mais qui a une joie de vivre immense ; la relation entre les deux garçons évolue au fil de l'histoire, au point de faire surgir d'autres émotions et sentiments...";Chine - 2014;Manhua;Comédie - Drame - School Life - Shônen-aï - Slice of Life;Adolescence - Ecole;Old Xian;Old Xian
1925;"Manga basé sur la chanson ""1925"" de Hatsune Miku.  Durant l'ère Taisho, Len, fils de la famille Kagurazaka, désire empêcher le mariage arrangé qui pend au nez de sa sœur Rin. Pour ça, il se plonge au cœur d'une légende urbaine, celle du ""train fantôme"" de Tokyo. Un train mystérieux dont le conducteur n'est autre que Miku, qui a bien l'intention de lui faire payer le prix de son enquête !";Japon - 2014;Seinen;Fantastique - Historique - Mystère;;T-POCKET;CHIHO (mangaka)
1945;Nous sommes en automne 1939, dans la ville allemande d'Offendorf. Elen et Maximilian deux jeunes étudiants, frère et sœur, refusent de se joindre aux organisations nazies, plus par manque de motivation personnelle que par conviction politique. Elen qui a fait brièvement la connaissance d'Alex quelques années auparavant, le croise à nouveau et ils tombent amoureux. Mais comment s'aimer quand l'Histoire bouleverse votre quotidien ?;Japon - 1997;Shojo;Action - Drame - Historique;;Ichiguchi Keiko;Ichiguchi Keiko
1984 / La luciole;Dans La Luciole, un dimanche de mai à Tokyo, le narrateur revoit par hasard la petite amie d'un de ses camarades d'université qui s'est suicidé. Ils entament une relation, mais la jeune fille décide de prendre une année sabbatique et de se réfugier dans une région montagneuse prés de Kyoto. Une décision qui plonge le narrateur dans la mélancolie.  1984 se déroule à Londres dans un monde fracturé en trois blocs antagonistes après une succession de guerres nucléaires : Océania, Eurasia et Estasia (dont fait partie le Japon). Chacun est dirigé par un régime totalitaire. À Londres, au cœur d'Océania dominé par l'insaisissable dictateur Big Brother, sévit la Police de la pensée. C'est dans cet environnement oppressant que Winston entame une liaison avec Julia.;Japon - 2019;Seinen;Romance - Science-fiction - Slice of Life;Amour - Dystopie;Moriizumi Takehito;Moriizumi Takehito
1LDK Shitsuji;Recueil de plusieurs nouvelles.  1. 1LDK♥Shitsuji : Suite à un accident Ryoko Sawamura reçoit en compensation les services d'un majordome. 2. Ochiru Junjou : Morishota déteste les hommes surtout ceux comme Andou Tomoya, mais suite à une décision de sa sœur ils se retrouvent à vivre tous les trois sous le même toit. 3. Liar Heart : Tomita joueur de basket réputé dans son lycée ne cesse de se faire harceler par les filles, Maeda une de ses camarades lui propose de faire semblant de sortir ensemble. 4. Kirakira no Uta 5. Motto 1LDK♥Shitsuji;Japon - 2010;Shojo;;Amour - Colocation;Morita Fuji;Morita Fuji
2 expressos;Benjamin, 42 ans, auteur de bande dessinée, part à la recherche d'une femme asiatique inconnue avec laquelle il a partagé, dix-sept ans auparavant, un amour d'une nuit qui l'a beaucoup marqué. Sa quête le conduit à rencontrer Michihiko, un patron de café très peu doué pour le café mais fort sympathique, avec lequel il noue bientôt une relation amicale. Les deux hommes, qui traversent l'un et l'autre un passage difficile dans leur vie sentimentale, se confient leurs difficultés respectives. Après une série de quiproquos savoureux, Benjamin finira, contre toute attente, par retrouver celle qu'il recherche, tandis que Michihiko parviendra, par l'entremise de son nouvel ami, à renouer les fils de sa relation avec son épouse Miho. Il réussira même à nettement améliorer sa technique de fabrication du café.;Japon - 2010;Josei;Mystère - Psychologique - Romance;;Takahama Kan;Takahama Kan
2 Kaime no Hajimete no Koi;Shin fut le professeur particulier de Yumika, mais il y a 5 ans. Aujourd'hui il est professeur et enseigne dans le lycée où se trouve Yumika. Cette dernière est surprise et heureuse car elle l'a toujours aimé. Lui sera-t-il possible de se déclarer et d'avoir un amour réciproque ?;Japon - 2010;Shojo;Comédie - Romance - School Life;;Kumagai Kyoko;Kumagai Kyoko
2.5 Jigen Kareshi;Koino Tsumugi est une jeune fille de 16 ans folle amoureuse de Tokki... qui est un personnage de son otome game préféré ! Il est le seul homme qui compte à ses yeux, et donc ne trouve aucun intérêt dans les vrais garçons. Elle pensait que cela allait toujours rester ainsi, jusqu'à ce qu'elle fasse la rencontre de Tokio, un jeune homme qui ressemble comme deux gouttes d'eau à Tokki. Mais Tokio souffre d'un mal très particulier : il est allergique aux otakus...;Japon - 2015;Shojo;Comédie - Romance;Amour - Otaku;Aoi Mitsu;Aoi Mitsu
2.5-Jigen no Yuuwaku;"""Je ne suis pas intéressé par les vraies femmes ! Ma femme, Lilliel, est en 2 dimensions !"". Mais quelque chose d'inattendue apparaît devant Okumura, le président du club de manga... la vraie Lilliel ?! La comédie romantique avec ce personnage de cosplay commence !";Japon - 2018;Shonen;Comédie - Ecchi - Mature - Romance - School Life;Amour - Club - Cosplay - Ecole - Harem - Manga - Otaku;Hashimoto Yu;Hashimoto Yu
20 Twenty;Nathan est un étudiant otaku qui ne s'intéresse pas à grand chose mis à part le dessin et les jeux vidéo. Un jour, il aperçoit le beau Sherwin, qu'il a tout de suite envie de dessiner. Le lendemain son dessin est accroché sur le tableau d'affichage de l'école et pire encore, Sherwin est en train de le regarder ! Nathan pensait subir la colère de Sherwin, il est donc très surpris lorsque ce dernier lui demande de dessiner l'affiche de son groupe de musique. Les deux garçons commencent alors à se rapprocher...;Chine - 2016;Manhua;;Amour - Homosexualité;MubaCR;MubaCR
20×20;Tomori, 20 ans, est à la recherche d'un garçon depuis longtemps.  Ichikawa, 20 ans, est lui aussi à la recherche d'une fille depuis un moment.  Quand les deux, qui ont maintenant atteint leur majorité, se retrouvent c'est plus fort qu'eux. Ils fondent en larmes et tombent amoureux l'un de l'autre.;Japon - 2020;Josei;Romance - Slice of Life;;Nakashima Vega;Nakashima Vega
2001 Nights stories;"L'humanité a réussi à éviter une guerre nucléaire totale et s'est lancée dans l'exploration du système solaire.  La découverte d'un morceau de météorite géante dans un cratère aux abords d'une base lunaire sonne le début d'une ruée vers de nouvelles ressources naturelles. Tout d'abord jusque sur les autres planètes du système solaire, puis vers les galaxies les plus éloignées...  Un merveilleux voyage dans l'immensité de l'univers qui vous fera découvrir les vestiges des plus anciennes civilisations extraterrestres, des systèmes d'évolution distincts de celui de l'homme, et qui vous fera faire la rencontre de ceux que l'on nomme les ""semailles d'étoiles""...";Japon - 2007;Seinen;Mystère - Science-fiction;;Hoshino Yukinobu;Hoshino Yukinobu
200m Saki no Netsu;Yoshiya Tsumugi est une jeune femme de 28 ans qui vit seule dans un appartement au deuxième étage. Elle travaille dans une entreprise où elle côtoie un jeune homme nommé Mashimo, qui est son associé. Parallèlement à cela, elle rencontre à l'association de gestion de la copropriété un homme du nom de Taiga. Rapidement, elle va se retrouver dans un triangle amoureux.;Japon - 2020;Shojo;Romance - Slice of Life;Amour - Travail - Triangle amoureux;Tomori Miyoshi;Tomori Miyoshi
20se Bogoseo;Les histoires de jeunes adultes qui débutent dans la vingtaine et leurs parcours pour devenir des adultes.;Corée du Sud - 2017;Manhwa;Drame - Slice of Life;Amitié - Quotidien;YSE;YSE
20th Century Boys;"1969 :  Un groupe d'enfants se retrouve régulièrement dans une base secrète ; sous l'impulsion de Kenji Endô, les enfants inventent une histoire de science-fiction racontant la destruction de l'humanité par une organisation maléfique à laquelle ils s'opposaient pour finir par devenir les sauveurs du monde. Ils consignent cette histoire dans un Cahier de Prédictions.  1997 :  Kenji dirige depuis un convini et porte constamment sur le dos le bébé que sa sœur lui a confié avant de disparaître mystérieusement. La mort d'un ami d'enfance va réunir la bande de copains qui, lorsqu'ils avaient dix ans, construisaient le monde avec des yeux d'enfants. Ami, le gourou d'une secte, va croiser le chemin de nos amis sans raison apparente... mais pourtant il semble être en étroite relation avec leur passé...";Japon - 2000;Seinen;Action - Drame - Mystère - Surnaturel - Thriller;Amitié - Apocalypse - Enquête - Jeunesse - Justice - Police - Pouvoirs psychiques - Yakuza;Nagasaki Takashi;Urasawa Naoki
21st Century Boys;Après la mort d'Ami la menace existe toujours ! L'humanité est encore en danger. En effet, Ami a planifié un ultime plan qui va donner du fil à retordre à Kenji et ses compagnons. La véritable identité d'Ami est sur le point d'être dévoilée...;Japon - 2006;Seinen;;;Urasawa Naoki;Urasawa Naoki
